Timestamp,email,name_stud,gender,age,university,city,monthly_budget,rent,grocery,transportation,personal,misc,ef_knowledge,target_saving,wage_per_hour,tuition_fees_due_date,insurance_due_date,subway,starbucks,tacobell,walmart,notification_preferences
11/6/23 8:16,katherine.bryan@gmail.com,Katherine Bryan,Female,26,University of Washington,Seattle,506,704,38,9,131,33,Yes,496,15,12/4/23,11/29/23,Priority 2,Priority 3,Priority 1,Priority 4,Email
11/2/23 21:36,allison.lucero@gmail.com,Allison Lucero,Female,30,Ohio State University,Columbus,635,520,61,9,191,66,No,603.8204427,19,12/17/23,12/12/23,Priority 4,Priority 1,Priority 2,Priority 3,Email
11/23/23 22:17,matthew.lopez@gmail.com,Matthew Lopez,Male,29,"University of California, Berkeley (UC Berkeley)",Berkeley,1112,676.3312086,59.7896289,29,109,44,Yes,811,11,12/17/23,11/29/23,Priority 3,Priority 2,Priority 1,Priority 4,Email
11/6/23 0:43,vanessa.liu@gmail.com,Vanessa Liu,Female,19,Boston University,Boston,1004.876908,737,23,119,66,77,Yes,603.8204427,15,11/29/23,12/7/23,Priority 3,Priority 4,Priority 1,Priority 2,Email
11/14/23 6:14,sandra.turner@hotmail.com,Sandra Turner,Male,22,Princeton University,Princeton,1181,990,45,119,161,22,Yes,436,15,12/19/23,12/18/23,Priority 4,Priority 2,Priority 1,Priority 3,Email
11/3/23 18:17,susan.bryant@gmail.com,Susan Bryant,Female,23,University of Virginia,Charlottesville,1232,350,99,64,163,39,Yes,916,10,12/9/23,12/6/23,Priority 1,Priority 4,Priority 2,Priority 3,SMS text
10/30/23 21:08,jacqueline.webster@gmail.com,Jacqueline Webster,Male,19,Vanderbilt University,Nashville,1094,873,47,60.60988201,76,59.76972387,Yes,781,12,12/4/23,12/15/23,Priority 4,Priority 3,Priority 2,Priority 1,SMS text
11/13/23 19:00,stacey.carlson@gmail.com,Stacey Carlson,Female,28,Vanderbilt University,Nashville,996,669,24,112,98.48837784,96,No,431,12,12/12/23,12/9/23,Priority 2,Priority 1,Priority 3,Priority 4,Email
11/17/23 14:16,carla.simon@gmail.com,Carla Simon,Male,23,Massachusetts Institute of Technology (MIT),Cambridge,1469,811,92,60.60988201,20,90,No,1086,11,12/7/23,11/28/23,Priority 3,Priority 1,Priority 2,Priority 4,SMS text
11/4/23 15:30,katherine.smith@gmail.com,Katherine Smith,Female,23,Cornell University,Ithaca,1086,387,79,10,181,38,No,301,12,12/9/23,11/26/23,Priority 2,Priority 4,Priority 3,Priority 1,Email
